ingredient,score
sesame,50
garden tomato,50
cherry tomato,50
eggplant,50
potato,50
rowanberry,50
sorghum,50
spinach,50
cloves,50
tamarind,50
dandelion,50
cocoa bean,50
common thyme,50
linden,50
small-leaf linden,50
fenugreek,50
common wheat,50
blueberry,50
lowbush blueberry,50
sparkleberry,50
highbush blueberry,50
american cranberry,50
bilberry,50
lingonberry,50
vanilla,50
common verbena,50
broad bean,50
adzuki bean,50
gram bean,50
mung bean,50
climbing bean,50
cowpea,50
muscadine grape,50
common grape,50
corn,50
ginger,50
arctic blackberry,50
banana,50
bayberry,50
elliott's blueberry,50
canada blueberry,50
bog bilberry,50
buffalo currant,50
celeriac,50
celery stalks,50
chinese chives,50
european cranberry,50
deerberry,50
ginseng,50
cascade huckleberry,50
oval-leaf huckleberry,50
evergreen huckleberry,50
red huckleberry,50
longan,50
macadamia nut,50
garden onion (var.),50
summer grape,50
fox grape,50
nectarine,50
peach (var.),50
pepper (c. baccatum),50
pepper (c. chinense),50
pepper (capsicum),50
rambutan,50
red rice,50
annual wild rice,50
swiss chard,50
lemon thyme,50
tronchuda cabbage,50
japanese walnut,50
welsh onion,50
hard wheat,50
shallot,50
rocket salad,50
carrot,50
triticale,50
black cabbage,50
half-highbush blueberry,50
celery leaves,50
chicory leaves,50
komatsuna,50
pak choy,50
napa cabbage,50
chicory roots,50
grapefruit/pummelo hybrid,50
grapefruit,50
jostaberry,50
kai-lan,50
italian oregano,50
oxheart cabbage,50
daikon radish,50
black radish,50
radish (var.),50
red beetroot,50
sweet rowanberry,50
pineappple sage,50
skunk currant,50
beer,50
other bread,50
breakfast cereal,50
other soy product,50
other cereal product,50
pasta,50
biscuit,50
sourdough,50
spirit,50
fortified wine,50
other alcoholic beverage,50
abalone,50
abiyuch,50
acerola,50
acorn,50
winter squash,50
agar,50
red king crab,50
alfalfa,50
allspice,50
amaranth,50
arrowhead,50
arrowroot,50
asian pear,50
atlantic herring,50
atlantic mackerel,50
painted comber,50
atlantic pollock,50
atlantic wolffish,50
bamboo shoots,50
striped bass,50
beech nut,50
beluga whale,50
bison,50
alaska blackfish,50
blue crab,50
blue mussel,50
northern bluefin tuna,50
bluefish,50
wild boar,50
bowhead whale,50
breadfruit,50
breadnut tree seed,50
rapini,50
buffalo,50
burbot,50
giant butterbur,50
american butterfish,50
butternut,50
butternut squash,50
calabash,50
cardoon,50
natal plum,50
carob,50
common carp,50
cassava,50
channel catfish,50
chayote,50
cherimoya,50
chervil,50
chia,50
chicken,50
chinese broccoli,50
chinese chestnut,50
chinese water chestnut,50
garland chrysanthemum,50
cisco,50
nuttall cockle,50
coconut,50
pacific cod,50
atlantic cod,50
common octopus,50
corn salad,50
cottonseed,50
catjang pea,50
malus (crab apple),50
squashberry,50
atlantic croaker,50
cusk,50
cuttlefish,50
mule deer,50
devilfish,50
dock,50
dolphin fish,50
freshwater drum,50
mallard duck,50
dungeness crab,50
durian,50
eastern oyster,50
freshwater eel,50
elderberry,50
elk,50
emu,50
oregon yampah,50
european anchovy,50
european chestnut,50
turbot,50
fireweed,50
florida pompano,50
ginkgo nuts,50
greylag goose,50
grape,50
greenland halibut/turbot,50
groundcherry,50
grouper,50
guinea hen,50
haddock,50
hippoglossus (common halibut),50
hazelnut,50
hickory nut,50
horse,50
horseradish tree,50
alaska blueberry,50
hyacinth bean,50
irish moss,50
pacific jack mackerel,50
jackfruit,50
japanese chestnut,50
java plum,50
jerusalem artichoke,50
jujube,50
jute,50
kale,50
kelp,50
king mackerel,50
kumquat,50
lambsquarters,50
leather chiton,50
wild leek,50
common ling,50
lingcod,50
american lobster,50
loganberry,50
lotus,50
sacred lotus,50
white lupine,50
malabar spinach,50
mammee apple,50
purple mangosteen,50
alpine sweetvetch,50
milkfish,50
monkfish,50
moth bean,50
mountain yam,50
striped mullet,50
white mustard,50
mustard spinach,50
new zealand spinach,50
nopal,50
ocean pout,50
north pacific giant octopus,50
ohelo berry,50
okra,50
tunicate,50
ostrich,50
spotted seal,50
pacific herring,50
pacific oyster,50
pacific rockfish,50
velvet duck,50
pepper (c. frutescens),50
common persimmon,50
pheasant,50
northern pike,50
pili nut,50
colorado pinyon,50
pitanga,50
plains prickly pear,50
french plantain,50
american pokeweed,50
opium poppy,50
prairie turnip,50
prickly pear,50
quinoa,50
european rabbit,50
rainbow smelt,50
rainbow trout,50
malabar plum,50
rose hip,50
roselle,50
orange roughy,50
sablefish,50
pink salmon,50
chum salmon,50
coho salmon,50
sockeye salmon,50
chinook salmon,50
atlantic salmon,50
salmonberry,50
common salsify,50
sapodilla,50
mamey sapote,50
spanish mackerel,50
pacific sardine,50
scallop,50
scup,50
sea cucumber,50
steller sea lion,50
bearded seal,50
ringed seal,50
sea trout,50
sesbania flower,50
american shad,50
shark,50
sheefish,50
lamb,50
sheepshead,50
hedge mustard,50
skipjack tuna,50
snapper,50
soursop,50
spelt,50
spirulina,50
squab,50
strawberry guava,50
greater sturgeon,50
white sucker,50
sugar apple,50
pumpkinseed sunfish,50
swordfish,50
taro,50
teff,50
tilefish,50
mexican groundcherry,50
towel gourd,50
salmon,50
turkey,50
beef,50
walleye,50
alaska pollock,50
wasabi,50
wax gourd,50
whelk,50
coalfish pollock,50
broad whitefish,50
whitefish,50
whiting,50
wild rice,50
tea leaf willow,50
winged bean,50
yam,50
jicama,50
yautia,50
yellowfin tuna,50
yellowtail amberjack,50
pollock,50
albacore tuna,50
gadus,50
atlantic halibut,50
pacific halibut,50
pacific salmon,50
smelt,50
herring,50
spiny lobster,50
snow crab,50
black-eyed pea,50
deer,50
bass,50
perciformes,50
rabbit,50
domestic goat,50
beefalo,50
clam,50
squid,50
shrimp,50
crayfish,50
flatfish,50
domestic pig,50
walrus,50
alaska wild rhubarb,50
oriental wheat,50
yardlong bean,50
quail,50
boysenberry,50
persian lime,50
feijoa,50
rowal,50
jew's ear,50
common mushroom,50
shiitake,50
purple laver,50
wakame,50
enokitake,50
epazote,50
oyster mushroom,50
cloud ear fungus,50
maitake,50
ostrich fern,50
spot croaker,50
sourdock,50
tinda,50
atlantic menhaden,50
wheat,50
common chokecherry,50
agave,50
narrowleaf cattail,50
jellyfish,50
anchovy,50
blue whiting,50
carp bream,50
chanterelle,50
sturgeon,50
charr,50
cinnamon,50
crab,50
common dab,50
spiny dogfish,50
anatidae,50
anguilliformes,50
true frog,50
garfish,50
gadiformes,50
mountain hare,50
lake trout,50
lemon sole,50
clawed lobster,50
lumpsucker,50
tuna,50
marine mussel,50
norway haddock,50
norway lobster,50
norway pout,50
oil palm,50
true oyster,50
sago palm,50
persimmon,50
pikeperch,50
dab,50
rock ptarmigan,50
pacific ocean perch,50
black salsify,50
true seal,50
red algae,50
kombu,50
snail,50
true sole,50
catfish,50
thistle,50
thunnus,50
walnut,50
whale,50
dove,50
conch,50
grape wine,50
berry wine,50
other wine,50
apple cider,50
liquor,50
cheese,50
milk,50
egg,50
yogurt,50
bean,50
vodka,50
whisky,50
ice cream,50
gin,50
honey,50
liquorice,50
vinegar,50
rum,50
port wine,50
vermouth,50
sherry,50
madeira wine,50
nougat,50
toffee,50
cake,50
pizza,50
ymer,50
other snack food,50
crisp bread,50
pastry,50
dragée,50
chewing gum,50
marzipan,50
salad dressing,50
sauce,50
salt,50
butter,50
butter substitute,50
cream,50
sugar,50
sausage,50
meatball,50
mustard,50
pate,50
sugar substitute,50
meat bouillon,50
whey,50
casein,50
fruit preserve,50
leavening agent,50
marshmallow,50
gelatin,50
water,50
other fish product,50
milk (human),50
other beverage,50
baby food,50
dumpling,50
soup,50
syrup,50
tallow,50
remoulade,50
chocolate spread,50
fruit gum,50
curry powder,50
other candy,50
meringue,50
lard,50
cocoa butter,50
cocoa powder,50
cocoa liquor,50
chocolate,50
hot chocolate,50
dried milk,50
kefir,50
buttermilk,50
other fermented milk,50
soy sauce,50
miso,50
tofu,50
zwieback,50
roe,50
cichlidae,50
icing,50
snack bar,50
green turtle,50
energy drink,50
burrito,50
hamburger,50
baked beans,50
chili,50
taco,50
tortilla,50
nachos,50
salad,50
cream substitute,50
dulce de leche,50
topping,50
sweet custard,50
egg roll,50
heart of palm,50
popcorn,50
potato chip,50
tortilla chip,50
corn chip,50
hibiscus tea,50
stew,50
gelatin dessert,50
junket,50
falafel,50
frybread,50
other frozen dessert,50
lasagna,50
morchella,50
pancake,50
pectin,50
pudding,50
waffle,50
soy milk,50
meatloaf,50
sake,50
cocktail,50
couscous,50
bulgur,50
coffee substitute,50
coffee mocha,50
chimichanga,50
semolina,50
tapioca pearl,50
tostada,50
quesadilla,50
baked potato,50
hot dog,50
spread,50
enchilada,50
egg substitute,50
nutritional drink,50
other sandwich,50
ketchup,50
breakfast sandwich,50
adobo,50
macaroni and cheese,50
butterfat,50
horned melon,50
hushpuppy,50
fruit juice,50
relish,50
other fruit product,50
fruit salad,50
soy yogurt,50
vegetarian food,50
veggie burger,50
cold cut,50
mixed nuts,50
canola,50
babassu palm,50
cupuaçu,50
shea tree,50
oil-seed camellia,50
ucuhuba,50
phyllo dough,50
cooking oil,50
pie crust,50
pie filling,50
pie,50
shortening,50
soy cream,50
ice cream cone,50
molasses,50
cracker,50
nance,50
naranjilla,50
natto,50
ravioli,50
scrapple,50
other pasta dish,50
succotash,50
tamale,50
rice cake,50
tree fern,50
evaporated milk,50
flour,50
akutaq,50
dough,50
pita bread,50
focaccia,50
bagel,50
other bread product,50
piki bread,50
french toast,50
wheat bread,50
rye bread,50
oat bread,50
potato bread,50
cornbread,50
corn grits,50
multigrain bread,50
rice bread,50
pan dulce,50
raisin bread,50
wonton wrapper,50
trail mix,50
greenthread tea,50
fruit-flavor drink,50
vegetable juice,50
horchata,50
soft drink,50
frozen yogurt,50
milkshake,50
chocolate mousse,50
dripping,50
pupusa,50
empanada,50
arepa,50
ascidians,50
gefilte fish,50
yellow pond-lily,50
fish burger,50
other dish,50
pot pie,50
stuffing,50
edible shell,50
fudge,50
candy bar,50
condensed milk,50
margarine,50
margarine-like spread,50
hummus,50
potato puffs,50
potato gratin,50
milk substitute,50
soft-necked garlic,50
cabbage,50
chinese bayberry,50
mushrooms,50
alcoholic beverages,50
onion-family vegetables,50
pomes,50
brassicas,50
cereals and cereal products,50
citrus,50
cocoa and cocoa products,50
coffee and coffee products,50
crustaceans,50
fats and oils,50
fishes,50
herbs and spices,50
pulses,50
mollusks,50
nuts,50
beverages,50
fruits,50
green vegetables,50
root vegetables,50
sunburst squash,50
green zucchini,50
yellow zucchini,50
green bell pepper,50
yellow bell pepper,50
orange bell pepper,50
red bell pepper,50
italian sweet red pepper,50
yellow wax bean,50
green bean,50
saskatoon berry,50
nanking cherry,50
japanese pumpkin,50
white cabbage,50
romaine lettuce,50
cow milk,50
castanospermum australe,50
gentiana lutea,50
juniperus communis,50
albizia gummifera,50
mundu,50
rabbiteye blueberry,50
yali pear,50
asparagus racemosus,50
evergreen blackberry,50
asparagus fern,50
thornless blackberry,50
tropical highland blackberry,50
andean blackberry,50
black tea,50
green tea,50
olive oil,50
macroalgae,50
red wine,50
linseed oil,50
rapeseed oil,50
soybean oil,50
guarana,50
mate,50
white wine,50
sour orange,50
egg yolk,50
rosé wine,50
white mulberry,50
canola oil,50
dessert wine,50
red champagne,50
red tea,50
white champagne,50
red grape juice,50
white grape juice,50
crosne,50
red clover,50
partridge berry,50
mikan,50
mozzarella cheese,50
plain cream cheese,50
cheddar cheese,50
parmesan cheese,50
almond milk,50
coconut milk,50
salted butter,50
sunflower oil,50
coconut oil,50
peanut oil,50
cottonseed oil,50
corn oil,50
avocado oil,50
grapeseed oil,50
sesame oil,50
monterey jack cheese,50
swiss cheese,50
cottage cheese,50
blue cheese,50
sour cream,50
whole wheat bread,50
jalapeno pepper,50
greek feta cheese,50
eddoe,50
plantain,50
clementine,50
green apple,50
white onion,50
red onion,50
green onion,50
green grape,50
red grape,50
black plum,50
green cabbage,50
black raisin,50
cannellini bean,50
green lentil,50
cubanelle pepper,50
acorn squash,50
iceberg lettuce,50
japanese sea bass,50
pea shoots,50
yau choy,50
water spinach,50
chineese plum,50
green plum,50
wampee,50
pitaya,50
goji,50
monk fruit,50
cantaloupe melon,50
hawthorn,50
lantern fruit,50
white bread,50
cape gooseberry,50
herbal tea,50
fish oil,50
taco shell,50
tostada shell,50
